timestamp,open,high,low,close,volume
2026-03-08T07:58:41.095109+00:00,2320.0,2320.69025,2319.17486,2320.35425,1463.36
2026-03-08T08:13:41.095109+00:00,2320.35425,2320.59848,2318.03996,2318.67831,1111.45
2026-03-08T08:28:41.095109+00:00,2318.67831,2319.14463,2317.81449,2318.74319,1417.78
2026-03-08T08:43:41.095109+00:00,2318.74319,2319.97715,2318.00294,2318.88262,959.4
2026-03-08T08:58:41.095109+00:00,2318.88262,2319.65889,2318.01909,2319.2945,1186.02
2026-03-08T09:13:41.095109+00:00,2319.2945,2319.75617,2318.24136,2319.20812,1156.73
2026-03-08T09:28:41.095109+00:00,2319.20812,2319.78487,2318.14293,2318.90262,1302.32
2026-03-08T09:43:41.095109+00:00,2318.90262,2320.20487,2317.66013,2319.35408,1086.2
2026-03-08T09:58:41.095109+00:00,2319.35408,2319.76926,2318.18827,2318.97307,1516.11
2026-03-08T10:13:41.095109+00:00,2318.97307,2319.37901,2318.59786,2318.95051,1382.17
2026-03-08T10:28:41.095109+00:00,2318.95051,2320.58955,2318.55017,2319.69944,1265.01
2026-03-08T10:43:41.095109+00:00,2319.69944,2320.661,2318.83801,2319.88446,1262.61
2026-03-08T10:58:41.095109+00:00,2319.88446,2321.29913,2319.19772,2320.57548,1376.76
2026-03-08T11:13:41.095109+00:00,2320.57548,2321.1636,2318.88515,2319.34404,1021.11
2026-03-08T11:28:41.095109+00:00,2319.34404,2320.56727,2318.83616,2319.17641,1471.12
2026-03-08T11:43:41.095109+00:00,2319.17641,2319.7592,2317.093,2317.74183,1364.14
2026-03-08T11:58:41.095109+00:00,2317.74183,2319.43961,2317.24645,2318.46193,1070.54
2026-03-08T12:13:41.095109+00:00,2318.46193,2319.94716,2318.24464,2319.31411,882.68
2026-03-08T12:28:41.095109+00:00,2319.31411,2320.18812,2317.92388,2318.56661,1393.34
2026-03-08T12:43:41.095109+00:00,2318.56661,2319.32209,2317.4744,2318.26208,1113.38
2026-03-08T12:58:41.095109+00:00,2318.26208,2319.2215,2317.77099,2318.75318,1093.11
2026-03-08T13:13:41.095109+00:00,2318.75318,2319.62362,2317.29774,2317.75692,1203.5
2026-03-08T13:28:41.095109+00:00,2317.75692,2319.12588,2316.9573,2318.26959,1172.42
2026-03-08T13:43:41.095109+00:00,2318.26959,2318.94169,2317.87482,2317.96862,794.81
2026-03-08T13:58:41.095109+00:00,2317.96862,2318.31959,2316.13826,2316.85819,946.47
2026-03-08T14:13:41.095109+00:00,2316.85819,2318.01292,2316.10473,2316.59785,1406.5
